Subtask,Method,Accuracy,R_No_To_Yes,Yes %
landmark,apc (sample),0.7500,1.3704,44.00%
artwork,baseline (greedy),0.7275,N/A (Baseline),49.75%
artwork,baseline (sample),0.6650,N/A (Baseline),54.00%
artwork,vcd (greedy),0.6875,0.6923,71.25%
artwork,vcd (sample),0.6850,0.8163,67.50%
artwork,icd (greedy),0.7175,0.0,45.25%
artwork,icd (sample),0.7025,1.12,48.25%
artwork,sid (greedy),0.7550,1.5,46.50%
artwork,sid (sample),0.6925,0.871,50.75%
artwork,pba (greedy),0.7175,0.875,64.75%
artwork,olm (greedy),0.6500,0.5571,77.00%
artwork,apc (sample),0.6375,0.7714,50.25%
OCR,baseline (greedy),0.7750,N/A (Baseline),47.50%
OCR,baseline (sample),0.6250,N/A (Baseline),57.50%
OCR,vcd (greedy),0.8000,1.0,45.00%
OCR,vcd (sample),0.5750,1.0,47.50%
OCR,icd (greedy),0.7250,N/A (No Flips),42.50%
OCR,icd (sample),0.6000,0.6667,40.00%
OCR,sid (greedy),0.7500,0.0,45.00%
OCR,sid (sample),0.6750,2.0,57.50%
OCR,pba (greedy),0.7500,0.6667,60.00%
OCR,olm (greedy),0.5750,0.2727,82.50%
OCR,apc (sample),0.7000,1.0,50.00%
commonsense_reasoning,baseline (greedy),0.6929,N/A (Baseline),43.57%
commonsense_reasoning,baseline (sample),0.6214,N/A (Baseline),46.43%
commonsense_reasoning,vcd (greedy),0.7143,5.0,45.71%
commonsense_reasoning,vcd (sample),0.6500,1.3333,45.00%
commonsense_reasoning,icd (greedy),0.7000,Infinity,42.86%
commonsense_reasoning,icd (sample),0.6786,2.125,42.14%
commonsense_reasoning,sid (greedy),0.6714,1.0,35.71%
commonsense_reasoning,sid (sample),0.6500,2.0,33.57%
commonsense_reasoning,pba (greedy),0.7214,1.3333,63.57%
commonsense_reasoning,olm (greedy),0.6786,0.913,75.00%
commonsense_reasoning,apc (sample),0.5857,0.7143,44.29%
numerical_calculation,baseline (greedy),0.4000,N/A (Baseline),15.00%
numerical_calculation,baseline (sample),0.5250,N/A (Baseline),47.50%
numerical_calculation,vcd (greedy),0.3500,0.3333,25.00%
numerical_calculation,vcd (sample),0.3250,0.6667,37.50%
numerical_calculation,icd (greedy),0.4000,N/A (No Flips),15.00%
numerical_calculation,icd (sample),0.5750,1.0,32.50%
numerical_calculation,sid (greedy),0.4000,N/A (No Flips),15.00%
numerical_calculation,sid (sample),0.5000,3.0,25.00%
numerical_calculation,pba (greedy),0.3750,0.6667,27.50%
numerical_calculation,olm (greedy),0.5250,1.5,77.50%
numerical_calculation,apc (sample),0.3750,1.0,42.50%
text_translation,baseline (greedy),0.5250,N/A (Baseline),2.50%
text_translation,baseline (sample),0.6000,N/A (Baseline),30.00%
text_translation,vcd (greedy),0.5000,0.6667,15.00%
text_translation,vcd (sample),0.5500,0.8,30.00%
text_translation,icd (greedy),0.5500,Infinity,5.00%
text_translation,icd (sample),0.7250,2.25,42.50%
text_translation,sid (greedy),0.5000,N/A (No Flips),0.00%
text_translation,sid (sample),0.5000,1.0,25.00%
text_translation,pba (greedy),0.6250,1.3333,72.50%
text_translation,olm (greedy),0.6000,1.1875,90.00%
text_translation,apc (sample),0.5250,0.6,32.50%
code_reasoning,baseline (greedy),0.5500,N/A (Baseline),20.00%
code_reasoning,baseline (sample),0.5500,N/A (Baseline),40.00%
code_reasoning,vcd (greedy),0.5250,0.5,17.50%
code_reasoning,vcd (sample),0.4500,0.5714,40.00%
code_reasoning,icd (greedy),0.5750,N/A (No Flips),17.50%
code_reasoning,icd (sample),0.4000,0.4,35.00%
code_reasoning,sid (greedy),0.5750,1.0,27.50%
code_reasoning,sid (sample),0.4750,1.0,47.50%
code_reasoning,pba (greedy),0.4000,0.3333,50.00%
code_reasoning,olm (greedy),0.5000,0.8667,90.00%
code_reasoning,apc (sample),0.6000,2.0,30.00%
